subzone_code,subzone_name,planning_area,latitude,longitude,Total_Total,volunteers_count,hdb_ratio,elderly_ratio,low_income_ratio,AED_count,risk_score,risk_score_normalized,normalized_risk_score,population_density_proxy,normalized_density,area_weight,current_aeds,optimized_aeds,current_coverage_effect,optimized_coverage_effect,coverage_improvement
RCSZ10,VICTORIA,ROCHOR,1.2996636062042934,103.85298961592576,1760.0,0,0.0,0.199,0.13,4,39.997135,0.006087539,0.006087539,1760.0,0.01343716597953886,0.01343716597953886,4,1,0.00032719708779966407,8.179927194991602e-05,-0.00024539781584974807
RVSZ02,PATERSON,RIVER VALLEY,1.3012521817513178,103.83160520655493,240.0,0,0.0,0.199,0.13,1,10.002281,0.0015219492,0.0015219492,240.0,0.0018323408153916628,0.0018323408153916628,1,2,2.7887296381126886e-06,5.577459276225377e-06,2.7887296381126886e-06
MPSZ04,EAST COAST,MARINE PARADE,1.299691271334154,103.90867526787515,0.0,0,1.0,0.199,0.13,14,139.99379,0.021308271,0.021308271,0.0,0.0,0.0,14,2,0.0,0.0,0.0
QTSZ11,NATIONAL UNIVERSITY OF S'PORE,QUEENSTOWN,1.2959845251975957,103.77661864933738,240.0,0,1.0,0.199,0.13,14,139.99149,0.021307921,0.021307921,240.0,0.0018323408153916628,0.0018323408153916628,14,1,0.0005466072267521759,3.9043373339441134e-05,-0.0005075638534127347
RVSZ01,ONE TREE HILL,RIVER VALLEY,1.3017262738114217,103.82716856724952,2070.0,0,0.0,0.199,0.13,4,39.99732,0.0060875667,0.0060875667,2070.0,0.01580393953275309,0.01580393953275309,4,1,0.00038483014411360507,9.620753602840127e-05,-0.0002886226080852038
QTSZ03,COMMONWEALTH,QUEENSTOWN,1.3049473759447046,103.7998816749111,7000.0,0,1.0,0.199,0.13,4,40.00593,0.0060888776,0.0060888776,7000.0,0.053443273782256835,0.053443273782256835,4,3,0.0013016382104138037,0.0009762286578103526,-0.0003254095526034511
QTSZ10,DOVER,QUEENSTOWN,1.3038619589251688,103.77954944762688,11080.0,0,1.0,0.199,0.13,28,279.94952,0.042611275,0.042611275,11080.0,0.0845930676439151,0.0845930676439151,28,32,0.1009293171171171,0.11534779099099098,0.014418473873873877
TNSZ03,RIDOUT,TANGLIN,1.3034343318263215,103.81146905986962,1520.0,0,0.0,0.199,0.13,7,69.99146,0.010653047,0.010653047,1520.0,0.011604825164147198,0.011604825164147198,7,2,0.0008653872353030998,0.00024725349580088566,-0.0006181337395022141
NTSZ04,CAIRNHILL,NEWTON,1.3066460686507626,103.8376503825013,3880.0,0,0.0,0.199,0.13,0,0.007817756,6.677201e-07,6.677201e-07,3880.0,0.029622843182165216,0.029622843182165216,0,2,0.0,3.9559535623759356e-08,3.9559535623759356e-08
CLSZ08,CLEMENTI WEST,CLEMENTI,1.3025219273598778,103.76309139206336,15260.0,0,0.0,0.199,0.13,7,69.99511,0.010653603,0.010653603,15260.0,0.1165063368453199,0.1165063368453199,7,11,0.008688485818140175,0.013653334857077416,0.004964849038937241
NTSZ05,MONK'S HILL,NEWTON,1.308022354616984,103.84160296355266,1030.0,0,0.0,0.199,0.13,20,200.01073,0.030443594,0.030443594,1030.0,0.00786379599938922,0.00786379599938922,20,3,0.004788044254084594,0.000718206638112689,-0.004069837615971904
BDSZ07,SIGLAP,BEDOK,1.306590763776463,103.92708615974864,6440.0,0,1.0,0.199,0.13,6,60.00469,0.009132937,0.009132937,6440.0,0.04916781187967629,0.04916781187967629,6,4,0.0026942791699496108,0.0017961861132997406,-0.0008980930566498701
CLSZ07,CLEMENTI WOODS,CLEMENTI,1.3040812285179135,103.76831866285038,16000.0,0,0.0,0.199,0.13,6,59.99589,0.009131598,0.009131598,16000.0,0.1221560543594442,0.1221560543594442,6,10,0.006692879890059552,0.011154799816765919,0.004461919926706367
PNSZ05,PIONEER SECTOR,PIONEER,1.300449002041553,103.6614548137725,0.0,0,0.8,0.199,0.13,31,310.14288,0.04720708,0.04720708,0.0,0.0,0.0,31,2,0.0,0.0,0.0
JESZ11,PENJURU CRESCENT,JURONG EAST,1.3038542316125974,103.74033689421644,10.0,0,0.0,0.199,0.13,28,279.99918,0.042618833,0.042618833,10.0,7.634753397465261e-05,7.634753397465261e-05,28,2,9.110759841197128e-05,6.507685600855092e-06,-8.459991281111618e-05
NTSZ01,ORANGE GROVE,NEWTON,1.31005518288548,103.83033705257913,1790.0,0,0.0,0.199,0.13,3,29.998474,0.004565618,0.004565618,1790.0,0.013666208581462818,0.013666208581462818,3,1,0.00018718406367384329,6.23946878912811e-05,-0.00012478937578256217
KLSZ04,KAMPONG BUGIS,KALLANG,1.3081638861192428,103.87049587307898,920.0,0,1.0,0.199,0.13,15,150.00713,0.022832425,0.022832425,920.0,0.007023973125668041,0.007023973125668041,15,2,0.002405615093907467,0.00032074867918766226,-0.002084866414719805
QTSZ12,KENT RIDGE,QUEENSTOWN,1.2850998737440142,103.79256836461492,80.0,0,1.0,0.199,0.13,22,219.96556,0.03348097,0.03348097,80.0,0.0006107802717972209,0.0006107802717972209,22,1,0.00044988935104596115,2.0449515956634598e-05,-0.00042943983508932657
BMSZ06,ALEXANDRA NORTH,BUKIT MERAH,1.2922809419446528,103.82027415587204,2620.0,0,1.0,0.199,0.13,3,30.006866,0.0045668953,0.0045668953,2620.0,0.020003053901358987,0.020003053901358987,3,1,0.0002740555585432891,9.135185284776302e-05,-0.00018270370569552607
QTSZ04,TANGLIN HALT,QUEENSTOWN,1.300870587419264,103.79675555658802,10590.0,0,1.0,0.199,0.13,4,40.006115,0.0060889055,0.0060889055,10590.0,0.08085203847915712,0.08085203847915712,4,5,0.0019692016871278055,0.002461502108909757,0.0004923004217819516
RCSZ06,MACKENZIE,ROCHOR,1.3062401873869316,103.84841433557844,110.0,0,0.0,0.199,0.13,0,0.007817756,6.677201e-07,6.677201e-07,110.0,0.0008398228737211788,0.0008398228737211788,0,2,0.0,1.1215332264467858e-09,1.1215332264467858e-09
RCSZ03,SUNGEI ROAD,ROCHOR,1.3056991013457864,103.85669288319126,2050.0,0,0.0,0.199,0.13,3,29.99866,0.0045656464,0.0045656464,2050.0,0.015651244464803787,0.015651244464803787,3,1,0.000214374143838754,7.145804794625133e-05,-0.0001429160958925027
QTSZ08,ONE NORTH,QUEENSTOWN,1.2982462989139003,103.79091120501532,720.0,0,1.0,0.199,0.13,40,400.03888,0.060890365,0.060890365,720.0,0.005497022446174988,0.005497022446174988,40,3,0.013388628126431516,0.0010041471094823637,-0.012384481016949153
KLSZ05,TANJONG RHU,KALLANG,1.3005910457830008,103.8759107061609,11110.0,0,1.0,0.199,0.13,29,289.93237,0.044130787,0.044130787,11110.0,0.08482211024583906,0.08482211024583906,29,33,0.1085547279243396,0.12352779384493816,0.014973065920598563
MPSZ02,KATONG,MARINE PARADE,1.3072650473055665,103.90233511173967,9360.0,0,0.8392094017094017,0.199,0.13,7,70.001175,0.010654526,0.010654526,9360.0,0.07146129180027486,0.07146129180027486,7,7,0.0053297033403573064,0.0053297033403573064,0.0
ORSZ02,BOULEVARD,ORCHARD,1.3053727678215412,103.83257213001392,410.0,0,0.0,0.199,0.13,0,0.007633258,6.396371e-07,6.396371e-07,410.0,0.0031302488929607574,0.0031302488929607574,0,2,0.0,4.004446648343258e-09,4.004446648343258e-09
NTSZ06,ISTANA NEGARA,NEWTON,1.3053391290558327,103.8443422082146,60.0,0,0.0,0.199,0.13,5,49.994953,0.007609331,0.007609331,60.0,0.0004580852038479157,0.0004580852038479157,5,2,1.7428609711406322e-05,6.971443884562529e-06,-1.0457165826843793e-05
RCSZ02,LITTLE INDIA,ROCHOR,1.3067833500558044,103.8540526534276,3270.0,0,0.0,0.199,0.13,2,20.000746,0.0030438397,0.0030438397,3270.0,0.024965643609711406,0.024965643609711406,2,1,0.00015198283431058174,7.599141715529087e-05,-7.599141715529087e-05
PNSZ04,GUL BASIN,PIONEER,1.30337704787048,103.67452040521236,10.0,0,0.0,0.199,0.13,24,240.03867,0.036536343,0.036536343,10.0,7.634753397465261e-05,7.634753397465261e-05,24,2,6.694703252404946e-05,5.578919377004122e-06,-6.136811314704533e-05
DTSZ03,MARINA CENTRE,DOWNTOWN CORE,1.2918507513627877,103.85971863230544,10.0,0,0.0,0.199,0.13,9,89.99194,0.013697369,0.013697369,10.0,7.634753397465261e-05,7.634753397465261e-05,9,2,9.411843105817681e-06,2.091520690181707e-06,-7.320322415635974e-06
MUSZ03,BRAS BASAH,MUSEUM,1.2962611266237731,103.849456501195,10.0,0,0.0,0.199,0.13,1,10.000749,0.0015217159,0.0015217159,10.0,7.634753397465261e-05,7.634753397465261e-05,1,2,1.1617925637501907e-07,2.3235851275003815e-07,1.1617925637501907e-07
ORSZ03,SOMERSET,ORCHARD,1.301103239957552,103.83894851476104,140.0,0,0.0,0.199,0.13,0,0.007633258,6.396371e-07,6.396371e-07,140.0,0.0010688654756451366,0.0010688654756451366,0,2,0.0,1.3673720262635515e-09,1.3673720262635515e-09
RCSZ09,BENCOOLEN,ROCHOR,1.3020047372600176,103.85128107184504,1310.0,0,0.0,0.199,0.13,2,20.000746,0.0030438397,0.0030438397,1310.0,0.010001526950679494,0.010001526950679494,2,1,6.0886089586196364e-05,3.0443044793098182e-05,-3.0443044793098182e-05
TNSZ02,CHATSWORTH,TANGLIN,1.29703459147278,103.82340220194406,6890.0,0,0.0,0.199,0.13,9,89.995926,0.013697975,0.013697975,6890.0,0.05260345090853565,0.05260345090853565,9,7,0.006485046799129638,0.00504392528821194,-0.001441121510917698
RCSZ05,KAMPONG GLAM,ROCHOR,1.3022628967682637,103.85969079958431,120.0,0,0.0,0.199,0.13,1,10.002281,0.0015219492,0.0015219492,120.0,0.0009161704076958314,0.0009161704076958314,1,2,1.3943648190563443e-06,2.7887296381126886e-06,1.3943648190563443e-06
