subzone_code,subzone_name,planning_area,latitude,longitude,Total_Total,volunteers_count,hdb_ratio,elderly_ratio,low_income_ratio,AED_count,area_sq_km,area_sq_m,population_density
KLSZ03,BOON KENG,KALLANG,1.31488371038874,103.872300214973,11790.0,0,1.0,0.199,0.13,10,0.4109390042881411,410939.0042881411,28690.389271817865
KLSZ08,KALLANG BAHRU,KALLANG,1.314076136899629,103.86547990899592,20.0,0,1.0,0.199,0.13,16,0.8396793860578449,839679.3860578449,23.818614976243104
BTSZ04,ULU PANDAN,BUKIT TIMAH,1.3163218966445094,103.7812925144643,11020.0,0,0.2317604355716878,0.199,0.13,11,1.2270608648539927,1227060.8648539926,8980.809604184764
BTSZ08,FARRER COURT,BUKIT TIMAH,1.3168380421335892,103.8051294388724,6180.0,0,0.4132686084142394,0.199,0.13,4,0.5587605315998436,558760.5315998436,11060.194216483793
TNSZ01,NASSIM,TANGLIN,1.3138608468962922,103.82435727962608,9520.0,0,0.0,0.199,0.13,23,2.096085230214293,2096085.2302142929,4541.800048381966
CLSZ05,WEST COAST,CLEMENTI,1.3162747028796988,103.75508863410587,6870.0,0,0.0,0.199,0.13,4,0.7225886744557733,722588.6744557733,9507.483638840902
BDSZ08,BAYSHORE,BEDOK,1.3138402686397517,103.94865078114977,7450.0,0,1.0,0.199,0.13,34,2.5504616725027383,2550461.6725027384,2921.0397789233984
PNSZ03,BENOI SECTOR,PIONEER,1.3177538702674785,103.686569536492,10.0,0,0.0,0.199,0.13,22,2.0426309803069174,2042630.9803069173,4.895646886985647
PNSZ02,GUL CIRCLE,PIONEER,1.3153824491404005,103.66882990242571,20.0,0,0.0,0.199,0.13,28,3.260399458937414,3260399.458937414,6.13421767850438
TNSZ04,TYERSALL,TANGLIN,1.3145867440825516,103.81294533814923,3880.0,0,0.0,0.199,0.13,62,2.158289715790866,2158289.715790866,1797.719727621574
NVSZ02,MOULMEIN,NOVENA,1.3176442166714577,103.8428202353417,9300.0,0,0.0,0.199,0.13,31,1.3474560114453986,1347456.0114453987,6901.89506819151
BLSZ02,LIU FANG,BOON LAY,1.3182527778884787,103.70823223132425,10.0,0,0.0,0.199,0.13,13,2.338909488882868,2338909.488882868,4.275496784946687
ORSZ01,TANGLIN,ORCHARD,1.3048186157648043,103.82579662754884,370.0,0,0.0,0.199,0.13,3,0.1675370653891567,167537.0653891567,2208.466521366842
MPSZ03,MARINE PARADE,MARINE PARADE,1.3028146514825378,103.90757425060777,26880.0,0,0.2922247023809524,0.199,0.13,3,1.1600174782851702,1160017.4782851702,23172.064648315598
PNSZ01,JOO KOON,PIONEER,1.3255957737331936,103.67952177125656,30.0,0,0.0,0.199,0.13,13,2.3493782564697154,2349378.2564697154,12.769335851894445
GLSZ01,KALLANG WAY,GEYLANG,1.3258341867949357,103.87610383180866,30.0,0,1.0,0.199,0.13,9,0.9634946905706128,963494.6905706128,31.136653158133157
JESZ07,INTERNATIONAL BUSINESS PARK,JURONG EAST,1.3263416162959327,103.7480871239683,10.0,0,0.0,0.199,0.13,2,0.4850223070051792,485022.3070051792,20.61760841835511
BLSZ01,TUKANG,BOON LAY,1.3256504097604354,103.70925050733476,10.0,0,0.0,0.199,0.13,16,1.881305828586964,1881305.828586964,5.315456874712886
BTSZ06,CORONATION ROAD,BUKIT TIMAH,1.325569983582593,103.8015380549468,6690.0,0,0.3817638266068759,0.199,0.13,11,1.4250831768079153,1425083.1768079153,4694.462827766392
BDSZ03,KEMBANGAN,BEDOK,1.3248058411093029,103.91561442223085,37460.0,0,1.0,0.199,0.13,18,2.387277531648641,2387277.531648641,15691.514498580449
NVSZ04,DUNEARN,NOVENA,1.3261898343656566,103.8200696432102,3960.0,0,0.0,0.199,0.13,9,1.2298944167269552,1229894.4167269552,3219.7885819650373
CLSZ02,SUNSET WAY,CLEMENTI,1.3262830305995317,103.76866786978609,5650.0,0,0.0,0.199,0.13,49,0.9639246053033426,963924.6053033426,5861.454276521939
BTSZ01,ANAK BUKIT,BUKIT TIMAH,1.3378622144768135,103.77157034866184,21870.0,0,0.1167809785093735,0.199,0.13,15,2.7732967109180073,2773296.7109180074,7885.921442845063
BTSZ02,SWISS CLUB,BUKIT TIMAH,1.3406373287907798,103.79230482128298,5340.0,0,0.4782771535580524,0.199,0.13,18,3.468506194128296,3468506.1941282963,1539.5676700937959
TMSZ05,XILIN,TAMPINES,1.3292661222831743,103.96881076742508,1760.0,0,1.0,0.199,0.13,59,7.655818727684656,7655818.727684655,229.89050062478108
CLSZ03,FABER,CLEMENTI,1.3219563635485436,103.75684865813272,5360.0,0,0.0,0.199,0.13,12,0.9481589222543821,948158.9222543822,5653.060762488888
NVSZ03,MALCOLM,NOVENA,1.3231195131653424,103.83394084355982,2950.0,0,0.0,0.199,0.13,9,1.3191123158012767,1319112.3158012768,2236.352405070271
