subzone_code,subzone_name,planning_area,latitude,longitude,Total_Total,volunteers_count,hdb_ratio,elderly_ratio,low_income_ratio,AED_count
GLSZ01,KALLANG WAY,GEYLANG,1.3258341867949357,103.87610383180866,30.0,0,1.0,0.199,0.13,10
JESZ07,INTERNATIONAL BUSINESS PARK,JURONG EAST,1.3263416162959327,103.7480871239683,10.0,0,0.0,0.199,0.13,11
BLSZ01,TUKANG,BOON LAY,1.3256504097604354,103.70925050733476,10.0,0,0.0,0.199,0.13,10
BTSZ06,CORONATION ROAD,BUKIT TIMAH,1.325569983582593,103.8015380549468,6690.0,0,0.3817638266068759,0.199,0.13,16
BDSZ03,KEMBANGAN,BEDOK,1.3248058411093029,103.91561442223085,37460.0,0,1.0,0.199,0.13,16
NVSZ04,DUNEARN,NOVENA,1.3261898343656566,103.8200696432102,3960.0,0,0.0,0.199,0.13,10
CLSZ02,SUNSET WAY,CLEMENTI,1.3262830305995317,103.76866786978609,5650.0,0,0.0,0.199,0.13,69
BTSZ01,ANAK BUKIT,BUKIT TIMAH,1.3378622144768135,103.77157034866184,21870.0,0,0.1167809785093735,0.199,0.13,13
BTSZ02,SWISS CLUB,BUKIT TIMAH,1.3406373287907798,103.79230482128298,5340.0,0,0.4782771535580524,0.199,0.13,35
TMSZ05,XILIN,TAMPINES,1.3292661222831743,103.96881076742508,1760.0,0,1.0,0.199,0.13,153
CLSZ03,FABER,CLEMENTI,1.3219563635485436,103.75684865813272,5360.0,0,0.0,0.199,0.13,16
NVSZ03,MALCOLM,NOVENA,1.3231195131653424,103.83394084355982,2950.0,0,0.0,0.199,0.13,9
BDSZ06,BEDOK SOUTH,BEDOK,1.321442781267262,103.94455412697307,46690.0,0,1.0,0.199,0.13,34
HGSZ09,DEFU INDUSTRIAL PARK,HOUGANG,1.351697665353808,103.89578138323309,20.0,0,1.0,0.199,0.13,34
CBSZ01,CHANGI BAY,CHANGI BAY,1.3274226558983535,104.02635671911914,0.0,0,0.8,0.199,0.13,23
PLSZ02,PAYA LEBAR EAST,PAYA LEBAR,1.3556120684469184,103.92376317131352,10.0,0,0.0,0.199,0.13,16
BKSZ02,HONG KAH NORTH,BUKIT BATOK,1.3627121391666444,103.74800378647188,26150.0,0,0.0,0.199,0.13,7
